"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Facebook likes";"SEMrush backlinks"
"1";"https://archive.org/about/contact.php";"text";"Skip to main content";"No";"n/a";"45";"513192"
"";"";"text";"CONTACT";"No"
"";"";"text";"directions to SF location";"No"
"";"";"text";"directions to Richmond location";"No"
"";"";"text";"Mass 
        Transit Within San Francisco";"No"
"";"";"text";"By Car From the North Bay";"No"
"";"";"text";"By Car From the East Bay";"No"
"";"";"text";"By Car From the South Bay 
        via 280";"No"
"";"";"text";"By Car From the South Bay 
        via 101";"No"
"2";"https://archive.org/";"image";"Internet Archive Logo";"No";"n/a";"195K";"4078791"
"3";"https://archive.org/web/";"text";"web";"No";"wait...";"19K";"2635185"
"";"";"image";"Wayback Machine";"No"
"4";"https://archive.org/details/texts";"text";"books";"No";"wait...";"n/a";"4776000"
"";"";"text";"All Texts";"No"
"5";"https://archive.org/details/movies";"text";"video";"No";"wait...";"2.8K";"2942536"
"";"";"text";"movies All video";"No"
"6";"https://archive.org/details/audio";"text";"audio";"No";"wait...";"wait...";"wait..."
"";"";"text";"audio All audio";"No"
"7";"https://archive.org/details/software";"text";"software";"No";"wait...";"wait...";"1017401"
"";"";"text";"software All software";"No"
"8";"https://archive.org/details/image";"text";"images";"No";"wait...";"wait...";"wait..."
"";"";"text";"image All images";"No"
"9";"https://archive.org/about/";"text";"ABOUT";"No";"wait...";"wait...";"wait..."
"10";"https://archive.org/projects";"text";"PROJECTS";"No";"wait...";"wait...";"wait..."
"11";"https://archive.org/about/faqs.php";"text";"HELP";"No";"wait...";"wait...";"wait..."
"";"";"text";"Frequently Asked Questions";"No"
"";"";"text";"adding";"No"
"12";"https://archive.org/donate";"text";"DONATE";"No";"wait...";"wait...";"wait..."
"";"";"text";"Make a Monetary Donation";"No"
"13";"https://archive.org/about/jobs.php";"text";"JOBS";"No";"wait...";"wait...";"wait..."
"";"";"text";"Job Opportunities at the Internet Archive";"No"
"14";"https://archive.org/about/volunteerpositions.php";"text";"VOLUNTEER";"No";"wait...";"wait...";"wait..."
"15";"https://archive.org/about/bios.php";"text";"PEOPLE";"No";"wait...";"wait...";"wait..."
"16";"https://archive.org/search.php";"text";"search";"No";"wait...";"wait...";"wait..."
"17";"https://archive.org/searchresults.php";"form";"";"No";"wait...";"wait...";"wait..."
"18";"https://archive.org/advancedsearch.php";"text";"Advanced Search";"No";"wait...";"wait...";"wait..."
"19";"https://archive.org/create";"text";"upload UPLOAD";"No";"wait...";"wait...";"wait..."
"20";"https://archive.org/account/signup";"text";"Sign up for free";"No";"wait...";"wait...";"wait..."
"";"";"text";"SIGN UP";"No"
"21";"https://archive.org/account/login";"text";"Log in";"No";"wait...";"wait...";"wait..."
"";"";"text";"LOG IN";"No"
"22";"https://archive.org/details/books";"text";"texts All Books";"No";"wait...";"wait...";"wait..."
"23";"https://archive.org/search.php?query=mediatype:texts&sort=-publicdate";"text";"latest This Just In";"No";"wait...";"wait...";"wait..."
"24";"https://archive.org/details/smithsonian";"text";"Smithsonian Libraries";"No";"wait...";"wait...";"wait..."
"25";"https://archive.org/details/fedlink";"text";"FEDLINK (US)";"No";"wait...";"wait...";"wait..."
"26";"https://archive.org/details/genealogy";"text";"Genealogy";"No";"wait...";"wait...";"wait..."
"27";"https://archive.org/details/lincolncollection";"text";"Lincoln Collection";"No";"wait...";"wait...";"wait..."
"28";"https://archive.org/details/nationalemergencylibrary";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"National Emergency Library";"No"
"29";"https://archive.org/details/americana";"text";"American Libraries";"No";"wait...";"wait...";"wait..."
"30";"https://archive.org/details/toronto";"text";"Canadian Libraries";"No";"wait...";"wait...";"wait..."
"31";"https://archive.org/details/universallibrary";"text";"Universal Library";"No";"wait...";"wait...";"wait..."
"32";"https://archive.org/details/opensource";"text";"Community Texts";"No";"wait...";"wait...";"wait..."
"33";"https://archive.org/details/gutenberg";"text";"Project Gutenberg";"No";"wait...";"wait...";"wait..."
"34";"https://archive.org/details/biodiversity";"text";"Biodiversity Heritage Library";"No";"wait...";"wait...";"wait..."
"35";"https://archive.org/details/iacl";"text";"Children's Library";"No";"wait...";"wait...";"wait..."
"36";"https://archive.org/search.php?query=mediatype:movies&sort=-publicdate";"text";"latest This Just In";"No";"wait...";"wait...";"wait..."
"37";"https://archive.org/details/prelinger";"text";"Prelinger Archives";"No";"wait...";"wait...";"wait..."
"38";"https://archive.org/details/democracy_now_vid";"text";"Democracy Now!";"No";"wait...";"wait...";"wait..."
"39";"https://archive.org/details/occupywallstreet";"text";"Occupy Wall Street";"No";"wait...";"wait...";"wait..."
"40";"https://archive.org/details/nsa";"text";"TV NSA Clip Library";"No";"wait...";"wait...";"wait..."
"41";"https://archive.org/details/tv";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"TV News";"No"
"42";"https://archive.org/details/animationandcartoons";"text";"Animation & Cartoons";"No";"wait...";"wait...";"wait..."
"43";"https://archive.org/details/artsandmusicvideos";"text";"Arts & Music";"No";"wait...";"wait...";"wait..."
"44";"https://archive.org/details/computersandtechvideos";"text";"Computers & Technology";"No";"wait...";"wait...";"wait..."
"45";"https://archive.org/details/culturalandacademicfilms";"text";"Cultural & Academic Films";"No";"wait...";"wait...";"wait..."
"46";"https://archive.org/details/ephemera";"text";"Ephemeral Films";"No";"wait...";"wait...";"wait..."
"47";"https://archive.org/details/moviesandfilms";"text";"Movies";"No";"wait...";"wait...";"wait..."
"48";"https://archive.org/details/newsandpublicaffairs";"text";"News & Public Affairs";"No";"wait...";"wait...";"wait..."
"49";"https://archive.org/details/911";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Understanding 9/11";"No"
"50";"https://archive.org/details/spiritualityandreligion";"text";"Spirituality & Religion";"No";"wait...";"wait...";"wait..."
"51";"https://archive.org/details/sports";"text";"Sports Videos";"No";"wait...";"wait...";"wait..."
"52";"https://archive.org/details/television";"text";"Television";"No";"wait...";"wait...";"wait..."
"53";"https://archive.org/details/gamevideos";"text";"Videogame Videos";"No";"wait...";"wait...";"wait..."
"54";"https://archive.org/details/vlogs";"text";"Vlogs";"No";"wait...";"wait...";"wait..."
"55";"https://archive.org/details/youth_media";"text";"Youth Media";"No";"wait...";"wait...";"wait..."
"56";"https://archive.org/search.php?query=mediatype:audio&sort=-publicdate";"text";"latest This Just In";"No";"wait...";"wait...";"wait..."
"57";"https://archive.org/details/GratefulDead";"text";"Grateful Dead";"No";"wait...";"wait...";"wait..."
"58";"https://archive.org/details/netlabels";"text";"Netlabels";"No";"wait...";"wait...";"wait..."
"59";"https://archive.org/details/oldtimeradio";"text";"Old Time Radio";"No";"wait...";"wait...";"wait..."
"60";"https://archive.org/details/78rpm";"text";"78 RPMs and Cylinder Recordings";"No";"wait...";"wait...";"wait..."
"61";"https://archive.org/details/etree";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Live Music Archive";"No"
"62";"https://archive.org/details/audio_bookspoetry";"text";"Audio Books & Poetry";"No";"wait...";"wait...";"wait..."
"63";"https://archive.org/details/opensource_audio";"text";"Community Audio";"No";"wait...";"wait...";"wait..."
"64";"https://archive.org/details/audio_tech";"text";"Computers, Technology and Science";"No";"wait...";"wait...";"wait..."
"65";"https://archive.org/details/audio_music";"text";"Music, Arts & Culture";"No";"wait...";"wait...";"wait..."
"66";"https://archive.org/details/audio_news";"text";"News & Public Affairs";"No";"wait...";"wait...";"wait..."
"67";"https://archive.org/details/audio_foreign";"text";"Non-English Audio";"No";"wait...";"wait...";"wait..."
"68";"https://archive.org/details/audio_religion";"text";"Spirituality & Religion";"No";"wait...";"wait...";"wait..."
"69";"https://archive.org/details/librivoxaudio";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Librivox Free Audiobook";"No"
"70";"https://archive.org/details/podcast_retiro-mundano-don-jose-maci_1345508413";"text";"Retiro Mundano - Don JosÃ© MaciÃ¡";"No";"wait...";"wait...";"wait..."
"71";"https://archive.org/details/podcast_dr-o-weightloss_849027276";"text";"Dr. O Weightloss";"No";"wait...";"wait...";"wait..."
"72";"https://archive.org/details/podcast_advanced-leadership-i-bachelo_940030009";"text";"Advanced Leadership I (Bachelor)";"No";"wait...";"wait...";"wait..."
"73";"https://archive.org/details/podcast_ryans-mix-tape-podcast_1373480701";"text";"Ryans Mix Tape Podcast";"No";"wait...";"wait...";"wait..."
"74";"https://archive.org/details/podcast_edvice-guru-hip-hop-police_1436343493";"text";"Edvice Guru _ Hip-Hop Police";"No";"wait...";"wait...";"wait..."
"75";"https://archive.org/details/podcast_my-brown-girl-magic_1177678761";"text";"My Brown Girl Magic";"No";"wait...";"wait...";"wait..."
"76";"https://archive.org/details/podcast_karakter_1440010153";"text";"Karakter";"No";"wait...";"wait...";"wait..."
"77";"https://archive.org/search.php?query=mediatype:software&sort=-publicdate";"text";"latest This Just In";"No";"wait...";"wait...";"wait..."
"78";"https://archive.org/details/tosec";"text";"Old School Emulation";"No";"wait...";"wait...";"wait..."
"79";"https://archive.org/details/softwarelibrary_msdos_games";"text";"MS-DOS Games";"No";"wait...";"wait...";"wait..."
"80";"https://archive.org/details/historicalsoftware";"text";"Historical Software";"No";"wait...";"wait...";"wait..."
"81";"https://archive.org/details/classicpcgames";"text";"Classic PC Games";"No";"wait...";"wait...";"wait..."
"82";"https://archive.org/details/softwarelibrary";"text";"Software Library";"No";"wait...";"wait...";"wait..."
"83";"https://archive.org/details/internetarcade";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Internet Arcade";"No"
"84";"https://archive.org/details/kodi_archive";"text";"Kodi Archive and Support File";"No";"wait...";"wait...";"wait..."
"85";"https://archive.org/details/vintagesoftware";"text";"Vintage Software";"No";"wait...";"48";"1289786"
"86";"https://archive.org/details/open_source_software";"text";"Community Software";"No";"wait...";"wait...";"wait..."
"87";"https://archive.org/details/apkarchive";"text";"APK";"No";"wait...";"wait...";"wait..."
"88";"https://archive.org/details/softwarelibrary_msdos";"text";"MS-DOS";"No";"wait...";"wait...";"wait..."
"89";"https://archive.org/details/cd-roms";"text";"CD-ROM Software";"No";"wait...";"108";"1267360"
"90";"https://archive.org/details/cdromsoftware";"text";"CD-ROM Software Library";"No";"wait...";"wait...";"wait..."
"91";"https://archive.org/details/consolelivingroom";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Console Living Room";"No"
"92";"https://archive.org/details/softwaresites";"text";"Software Sites";"No";"wait...";"wait...";"wait..."
"93";"https://archive.org/details/tucows";"text";"Tucows Software Library";"No";"wait...";"wait...";"wait..."
"94";"https://archive.org/details/cdbbsarchive";"text";"Shareware CD-ROMs";"No";"wait...";"158";"1286296"
"95";"https://archive.org/details/softwarecapsules";"text";"Software Capsules Compilation";"No";"wait...";"wait...";"wait..."
"96";"https://archive.org/details/cdromimages";"text";"CD-ROM Images";"No";"wait...";"wait...";"wait..."
"97";"https://archive.org/details/softwarelibrary_zx_spectrum";"text";"ZX Spectrum";"No";"wait...";"wait...";"wait..."
"98";"https://archive.org/details/doom-cds";"text";"DOOM Level CD";"No";"wait...";"wait...";"wait..."
"99";"https://archive.org/search.php?query=mediatype:image&sort=-publicdate";"text";"latest This Just In";"No";"wait...";"wait...";"wait..."
"100";"https://archive.org/details/flickrcommons";"text";"Flickr Commons";"No";"wait...";"wait...";"wait..."
"101";"https://archive.org/details/flickr-ows";"text";"Occupy Wall Street Flickr";"No";"wait...";"wait...";"wait..."
"102";"https://archive.org/details/coverartarchive";"text";"Cover Art";"No";"wait...";"wait...";"wait..."
"103";"https://archive.org/details/maps_usgs";"text";"USGS Maps";"No";"wait...";"wait...";"wait..."
"104";"https://archive.org/details/metropolitanmuseumofart-gallery";"text";"";"No";"wait...";"wait...";"wait..."
"";"";"text";"Metropolitan Museum";"No"
"105";"https://archive.org/details/nasa";"text";"NASA Images";"No";"wait...";"wait...";"wait..."
"106";"https://archive.org/details/solarsystemcollection";"text";"Solar System Collection";"No";"wait...";"wait...";"wait..."
"107";"https://archive.org/details/amesresearchcenterimagelibrary";"text";"Ames Research Center";"No";"wait...";"wait...";"wait..."
